supplier_id,supplier_name,lead_time_days,reliability_flag
SUP001,StaplesCorp,15,Medium
SUP002,AgroFoods,15,Medium
SUP003,GrainHouse,7,Medium
SUP004,DailyNeeds,2,High
SUP005,DairyFresh,3,High
SUP006,MilkUnion,7,Medium
SUP007,CreamLine,3,High
SUP008,Snackify,2,Medium
SUP009,CrunchCo,10,High
SUP010,TastyFoods,5,High
SUP011,QuickBite,5,Medium
SUP012,CoolDrinks,7,High
SUP013,BeverageHub,1,Medium
SUP014,HydroLife,15,High
SUP015,SweetTreats,5,Low
SUP016,ChocoHouse,15,High
SUP017,ConfectCo,15,Medium
SUP018,FestiveFoods,5,Medium
SUP019,CarePlus,1,High
SUP020,HygieneCo,3,Medium
SUP021,PersonalCareLtd,1,High
SUP022,CleanHome,5,Low
SUP023,SafeHouse,10,Medium
SUP024,HomeCarePro,1,High
SUP025,QuickCook,2,Medium
SUP026,ReadyFoods,15,Medium
SUP027,InstantKitchen,5,High
SUP028,SpiceKing,15,High
SUP029,MasalaMart,1,High
SUP030,HerbalFoods,5,High
SUP031,FreshFarms,10,High
SUP032,GreenGrowers,5,High
SUP033,AgroLocal,15,Medium
SUP034,BabyJoy,5,Low
SUP035,TinyCare,10,Low
SUP036,InfantPlus,15,Low
SUP037,PetWorld,10,High
SUP038,HappyPaws,1,Low
SUP039,PetCareCo,7,High
SUP040,KitchenPro,2,Medium
SUP041,HomeEssentials,2,Low
SUP042,CookWareInc,5,Medium
SUP043,ElectroHub,1,High
SUP044,GadgetZone,7,High
SUP045,PowerTech,15,High
SUP046,OfficeMart,1,High
SUP047,WriteWell,15,Medium
SUP048,StationeryHub,1,Medium
